"Date","Price","Open","High","Low","Change %"
"Jun 30, 2020","1.3936","1.3939","1.3977","1.3926","-0.01%"
"Jun 29, 2020","1.3937","1.3925","1.3952","1.3919","0.02%"
"Jun 26, 2020","1.3935","1.3915","1.3951","1.3902","0.14%"
"Jun 25, 2020","1.3915","1.3932","1.3944","1.3908","-0.13%"
"Jun 24, 2020","1.3932","1.3911","1.3937","1.3869","0.15%"
"Jun 23, 2020","1.3911","1.3925","1.3969","1.3885","-0.09%"
"Jun 22, 2020","1.3924","1.3966","1.3994","1.3917","-0.36%"
"Jun 19, 2020","1.3975","1.3943","1.3982","1.3924","0.24%"
"Jun 18, 2020","1.3941","1.3932","1.3959","1.3908","0.06%"
"Jun 17, 2020","1.3932","1.3945","1.3966","1.3915","-0.11%"
"Jun 16, 2020","1.3949","1.3915","1.3963","1.3870","0.27%"
"Jun 15, 2020","1.3910","1.3930","1.3985","1.3902","-0.09%"
"Jun 12, 2020","1.3923","1.3927","1.3961","1.3884","-0.05%"
"Jun 11, 2020","1.3931","1.3832","1.3945","1.3816","0.71%"
"Jun 10, 2020","1.3832","1.3896","1.3909","1.3803","-0.41%"
"Jun 09, 2020","1.3889","1.3879","1.3941","1.3868","0.07%"
"Jun 08, 2020","1.3879","1.3936","1.3949","1.3875","-0.34%"
"Jun 05, 2020","1.3928","1.3982","1.3986","1.3908","-0.39%"
"Jun 04, 2020","1.3982","1.3979","1.4030","1.3954","0.03%"
"Jun 03, 2020","1.3979","1.4004","1.4015","1.3951","-0.18%"
"Jun 02, 2020","1.4004","1.4078","1.4088","1.3992","-0.51%"
"Jun 01, 2020","1.4076","1.4117","1.4143","1.4045","-0.29%"
"May 29, 2020","1.4117","1.4176","1.4187","1.4104","-0.41%"
"May 28, 2020","1.4175","1.4198","1.4222","1.4150","-0.21%"
"May 27, 2020","1.4205","1.4163","1.4218","1.4143","0.29%"
"May 26, 2020","1.4165","1.4247","1.4254","1.4149","-0.59%"
"May 25, 2020","1.4248","1.4250","1.4270","1.4235","-0.03%"
"May 22, 2020","1.4253","1.4176","1.4261","1.4166","0.55%"
"May 21, 2020","1.4174","1.4131","1.4183","1.4126","0.31%"
"May 20, 2020","1.4130","1.4166","1.4184","1.4119","-0.23%"
"May 19, 2020","1.4162","1.4182","1.4201","1.4139","-0.14%"
"May 18, 2020","1.4182","1.4267","1.4279","1.4177","-0.64%"
"May 15, 2020","1.4274","1.4234","1.4282","1.4221","0.27%"
"May 14, 2020","1.4235","1.4201","1.4267","1.4179","0.24%"
"May 13, 2020","1.4201","1.4180","1.4208","1.4136","0.14%"
"May 12, 2020","1.4180","1.4172","1.4207","1.4140","0.05%"
"May 11, 2020","1.4173","1.4133","1.4188","1.4114","0.31%"
"May 08, 2020","1.4130","1.4150","1.4151","1.4108","-0.08%"
"May 07, 2020","1.4140","1.4205","1.4231","1.4134","-0.48%"
"May 06, 2020","1.4209","1.4158","1.4219","1.4153","0.36%"
"May 05, 2020","1.4158","1.4167","1.4178","1.4129","-0.07%"
"May 04, 2020","1.4167","1.4159","1.4207","1.4154","0.10%"
"May 01, 2020","1.4153","1.4107","1.4169","1.4097","0.30%"
"Apr 30, 2020","1.4110","1.4119","1.4135","1.4068","-0.06%"
"Apr 29, 2020","1.4118","1.4172","1.4175","1.4109","-0.37%"
"Apr 28, 2020","1.4172","1.4187","1.4225","1.4146","-0.10%"
"Apr 27, 2020","1.4186","1.4248","1.4255","1.4176","-0.42%"
"Apr 24, 2020","1.4246","1.4243","1.4281","1.4232","0.01%"
"Apr 23, 2020","1.4245","1.4274","1.4301","1.4208","-0.18%"
"Apr 22, 2020","1.4270","1.4319","1.4326","1.4252","-0.34%"
"Apr 21, 2020","1.4319","1.4213","1.4331","1.4202","0.76%"
"Apr 20, 2020","1.4211","1.4223","1.4250","1.4183","-0.06%"
"Apr 17, 2020","1.4219","1.4277","1.4283","1.4210","-0.42%"
"Apr 16, 2020","1.4280","1.4236","1.4309","1.4234","0.30%"
"Apr 15, 2020","1.4237","1.4139","1.4281","1.4128","0.72%"
"Apr 14, 2020","1.4136","1.4152","1.4175","1.4130","-0.14%"
"Apr 13, 2020","1.4155","1.4139","1.4182","1.4131","0.15%"
"Apr 10, 2020","1.4135","1.4172","1.4188","1.4121","-0.23%"
"Apr 09, 2020","1.4167","1.4257","1.4273","1.4155","-0.61%"
"Apr 08, 2020","1.4255","1.4232","1.4297","1.4228","0.15%"
